File: /Users/mythezone/miniconda3/envs/simlob312/lib/python3.12/site-packages/rich/__init__.py
  Line 821: executed 4 times, time 0.00000000 sec
  Line 822: executed 4 times, time 0.00000000 sec
  Line 859: executed 4 times, time 0.00000000 sec
  Line 860: executed 4 times, time 0.00000000 sec
  Line 864: executed 4 times, time 0.00000000 sec
  Line 928: executed 4 times, time 0.00000000 sec
  Line 938: executed 28 times, time 0.00000310 sec
  Line 941: executed 56 times, time 0.00000215 sec
  Line 942: executed 28 times, time 0.00000000 sec
  Line 947: executed 28 times, time 0.00000000 sec
  Line 952: executed 28 times, time 0.00000000 sec
  Line 953: executed 28 times, time 0.00000000 sec
  Line 957: executed 28 times, time 0.00000095 sec
  Line 958: executed 28 times, time 0.00000119 sec
  Line 959: executed 28 times, time 0.00000381 sec
  Line 974: executed 18 times, time 0.00000000 sec
  Line 975: executed 18 times, time 0.00000000 sec
  Line 976: executed 18 times, time 0.00000095 sec
  Line 981: executed 8 times, time 0.00000095 sec
  Line 982: executed 4 times, time 0.00000000 sec
  Line 983: executed 4 times, time 0.00000000 sec
  Line 984: executed 4 times, time 0.00000000 sec
  Line 985: executed 4 times, time 0.00000000 sec
  Line 986: executed 4 times, time 0.00000000 sec
  Line 987: executed 4 times, time 0.00000000 sec
  Line 988: executed 4 times, time 0.00000000 sec
  Line 999: executed 16 times, time 0.00000000 sec
  Line 1002: executed 16 times, time 0.00000095 sec
  Line 1005: executed 16 times, time 0.00000000 sec
  Line 1006: executed 16 times, time 0.00000000 sec
  Line 1008: executed 16 times, time 0.00000072 sec
  Line 1009: executed 16 times, time 0.00000000 sec
  Line 1010: executed 16 times, time 0.00000095 sec
  Line 1011: executed 16 times, time 0.00000000 sec
  Line 1015: executed 16 times, time 0.00000000 sec
  Line 1017: executed 16 times, time 0.00000000 sec
  Line 1018: executed 16 times, time 0.00000000 sec
  Line 1020: executed 16 times, time 0.00000095 sec
  Line 1021: executed 16 times, time 0.00000000 sec
  Line 1025: executed 16 times, time 0.00000000 sec
  Line 1026: executed 16 times, time 0.00000000 sec
  Line 1027: executed 32 times, time 0.00000215 sec
  Line 1028: executed 16 times, time 0.00000000 sec
  Line 1029: executed 16 times, time 0.00000095 sec
  Line 1050: executed 8 times, time 0.00000000 sec
  Line 1298: executed 4 times, time 0.00000000 sec
  Line 1299: executed 4 times, time 0.00000000 sec
  Line 1304: executed 4 times, time 0.00000000 sec
  Line 1305: executed 4 times, time 0.00000000 sec
  Line 1306: executed 4 times, time 0.00000000 sec
  Line 1318: executed 4 times, time 0.00000000 sec
  Line 1319: executed 4 times, time 0.00000000 sec
  Line 1324: executed 4 times, time 0.00000000 sec
  Line 1325: executed 4 times, time 0.00000000 sec
  Line 1326: executed 11 times, time 0.00000000 sec
  Line 1327: executed 7 times, time 0.00000191 sec
  Line 1328: executed 7 times, time 0.00000000 sec
  Line 1424: executed 3 times, time 0.00000095 sec
  Line 1425: executed 3 times, time 0.00000000 sec
  Line 1426: executed 3 times, time 0.00000095 sec
  Line 1428: executed 3 times, time 0.00000000 sec
  Line 1429: executed 6 times, time 0.00000000 sec
  Line 1430: executed 3 times, time 0.00000000 sec
  Line 1431: executed 3 times, time 0.00000000 sec
  Line 1432: executed 3 times, time 0.00000000 sec
  Line 1433: executed 3 times, time 0.00000000 sec
  Line 1435: executed 3 times, time 0.00000000 sec
  Line 1436: executed 3 times, time 0.00000000 sec
  Line 1449: executed 3 times, time 0.00000000 sec
  Line 1450: executed 3 times, time 0.00000119 sec
  Line 1451: executed 3 times, time 0.00000000 sec
  Line 1452: executed 3 times, time 0.00000095 sec
  Line 1453: executed 3 times, time 0.00000000 sec
  Line 1512: executed 4 times, time 0.00000000 sec
  Line 1513: executed 4 times, time 0.00000119 sec
  Line 1514: executed 4 times, time 0.00000000 sec
  Line 1515: executed 4 times, time 0.00000000 sec
  Line 1517: executed 4 times, time 0.00000000 sec
  Line 1518: executed 4 times, time 0.00000000 sec
  Line 1525: executed 4 times, time 0.00000000 sec
  Line 1526: executed 4 times, time 0.00000000 sec
  Line 1527: executed 4 times, time 0.00000000 sec
  Line 1529: executed 4 times, time 0.00000000 sec
  Line 1530: executed 5 times, time 0.00000000 sec
  Line 1531: executed 3 times, time 0.00000000 sec
  Line 1532: executed 3 times, time 0.00000000 sec
  Line 1533: executed 3 times, time 0.00000000 sec
  Line 1535: executed 8 times, time 0.00000000 sec
  Line 1536: executed 4 times, time 0.00000000 sec
  Line 1537: executed 4 times, time 0.00000000 sec
  Line 1538: executed 6 times, time 0.00000000 sec
  Line 1539: executed 6 times, time 0.00000000 sec
  Line 1540: executed 3 times, time 0.00000000 sec
  Line 1541: executed 3 times, time 0.00000000 sec
  Line 1542: executed 3 times, time 0.00000000 sec
  Line 1543: executed 3 times, time 0.00000095 sec
  Line 1544: executed 3 times, time 0.00000000 sec
  Line 1547: executed 1 times, time 0.00000000 sec
  Line 1549: executed 1 times, time 0.00000000 sec
  Line 1550: executed 1 times, time 0.00000000 sec
  Line 1551: executed 1 times, time 0.00000000 sec
  Line 1558: executed 4 times, time 0.00000000 sec
  Line 1560: executed 4 times, time 0.00000095 sec
  Line 1564: executed 4 times, time 0.00000000 sec
  Line 1666: executed 4 times, time 0.00000095 sec
  Line 1667: executed 1 times, time 0.00000000 sec
  Line 1669: executed 4 times, time 0.00000000 sec
  Line 1670: executed 4 times, time 0.00000000 sec
  Line 1671: executed 4 times, time 0.00000000 sec
  Line 1677: executed 4 times, time 0.00000000 sec
  Line 1678: executed 8 times, time 0.00000000 sec
  Line 1679: executed 8 times, time 0.00000000 sec
  Line 1680: executed 4 times, time 0.00000000 sec
  Line 1681: executed 4 times, time 0.00000000 sec
  Line 1682: executed 4 times, time 0.00000119 sec
  Line 1683: executed 4 times, time 0.00000000 sec
  Line 1684: executed 4 times, time 0.00000000 sec
  Line 1685: executed 4 times, time 0.00000000 sec
  Line 1686: executed 4 times, time 0.00000000 sec
  Line 1688: executed 4 times, time 0.00000095 sec
  Line 1690: executed 8 times, time 0.00000000 sec
  Line 1691: executed 4 times, time 0.00000000 sec
  Line 1692: executed 4 times, time 0.00000000 sec
  Line 1693: executed 4 times, time 0.00000000 sec
  Line 1694: executed 4 times, time 0.00000000 sec
  Line 1695: executed 4 times, time 0.00000000 sec
  Line 1696: executed 4 times, time 0.00000119 sec
  Line 1697: executed 4 times, time 0.00000000 sec
  Line 1700: executed 4 times, time 0.00000000 sec
  Line 1701: executed 4 times, time 0.00000000 sec
  Line 1702: executed 4 times, time 0.00000000 sec
  Line 1703: executed 4 times, time 0.00000000 sec
  Line 1704: executed 8 times, time 0.00000000 sec
  Line 1705: executed 4 times, time 0.00000000 sec
  Line 1713: executed 4 times, time 0.00000000 sec
  Line 1719: executed 4 times, time 0.00000000 sec
  Line 1720: executed 4 times, time 0.00000095 sec
  Line 1721: executed 12 times, time 0.00000000 sec
  Line 1722: executed 4 times, time 0.00000095 sec
  Line 1724: executed 4 times, time 0.00000000 sec
  Line 2014: executed 4 times, time 0.00000000 sec
  Line 2018: executed 4 times, time 0.00000000 sec
  Line 2019: executed 4 times, time 0.00000000 sec
  Line 2026: executed 8 times, time 0.00000095 sec
  Line 2027: executed 4 times, time 0.00000000 sec
  Line 2031: executed 4 times, time 0.00000000 sec
  Line 2032: executed 4 times, time 0.00000000 sec
  Line 2038: executed 4 times, time 0.00000000 sec
  Line 2086: executed 4 times, time 0.00000000 sec
  Line 2087: executed 4 times, time 0.00000000 sec
  Line 2088: executed 4 times, time 0.00000000 sec
  Line 2093: executed 4 times, time 0.00000000 sec
  Line 2094: executed 4 times, time 0.00000000 sec
  Line 2098: executed 4 times, time 0.00000000 sec
