time,cash,total_value,positions
2019-01-02T10:53:29.370000,1000000.00,1000000.00,{}
2019-01-02T10:53:30.890000,1000000.00,1000000.00,{}
2019-01-02T10:53:31.650000,1000000.00,1000000.00,{}
2019-01-02T10:53:31.870000,1000000.00,1000000.00,{}
2019-01-02T10:53:32.300000,1000000.00,1000000.00,{}
2019-01-02T10:53:32.630000,1000000.00,1000000.00,{}
2019-01-02T10:53:32.800000,1000000.00,1000000.00,{}
2019-01-02T10:53:36.570000,1000000.00,1000000.00,{}
2019-01-02T10:53:36.690000,1000000.00,1000000.00,{}
2019-01-02T10:53:40.320000,1000000.00,1000000.00,{}
2019-01-02T10:53:42.540000,1000000.00,1000000.00,{}
2019-01-02T10:53:44.370000,1000000.00,1000000.00,{}
2019-01-02T10:53:47.980000,1000000.00,1000000.00,{}
2019-01-02T10:53:50.410000,1000000.00,1000000.00,{}
2019-01-02T10:53:50.750000,1000000.00,1000000.00,{}
2019-01-02T10:53:50.960000,1000000.00,1000000.00,{}
2019-01-02T10:53:51.500000,1000000.00,1000000.00,{}
2019-01-02T10:53:52.920000,1000000.00,1000000.00,{}
2019-01-02T10:53:52.920000,1000000.00,1000000.00,{}
2019-01-02T10:53:53.560000,1000000.00,1000000.00,{}
2019-01-02T10:53:56.900000,1000000.00,1000000.00,{}
2019-01-02T10:53:57.490000,1000000.00,1000000.00,{}
2019-01-02T10:53:58.410000,1000000.00,1000000.00,{}
2019-01-02T10:53:59.900000,1000000.00,1000000.00,{}
2019-01-02T10:53:59.940000,1000000.00,1000000.00,{}
2019-01-02T10:54:00.260000,1000000.00,1000000.00,{}
2019-01-02T10:54:00.510000,1000000.00,1000000.00,{}
2019-01-02T10:54:00.660000,1000000.00,1000000.00,{}
2019-01-02T10:54:00.990000,1000000.00,1000000.00,{}
2019-01-02T10:54:01.210000,1000000.00,1000000.00,{}
2019-01-02T10:54:02.110000,1000000.00,1000000.00,{}
2019-01-02T10:54:02.820000,1000000.00,1000000.00,{}
2019-01-02T10:54:02.920000,1000000.00,1000000.00,{}
2019-01-02T10:54:03.350000,1000000.00,1000000.00,{}
2019-01-02T10:54:06.750000,1000000.00,1000000.00,{}
2019-01-02T10:54:07.830000,1000000.00,1000000.00,{}
2019-01-02T10:54:10.080000,1000000.00,1000000.00,{}
2019-01-02T10:54:10.160000,1000000.00,1000000.00,{}
2019-01-02T10:54:10.780000,1000000.00,1000000.00,{}
2019-01-02T10:54:11.670000,1000000.00,1000000.00,{}
2019-01-02T10:54:11.910000,1000000.00,1000000.00,{}
